Commodity,Date,Price,Change%
Gold,2020/05/06,1685.1,-1.29％
Gold,2020/05/05,1707.1,0.21％
Gold,2020/05/04,1703.5,-0.02％
Gold,2020/05/01,1703.9,1.06％
Gold,2020/04/30,1686.1,-1.69％
Gold,2020/04/29,1715.1,0.15％
Gold,2020/04/28,1712.5,-0.04％
Gold,2020/04/27,1713.2,-1.00％
Gold,2020/04/24,1730.5,-0.18％
Gold,2020/04/23,1733.6,1.08％
Gold,2020/04/22,1715.1,1.59％
Gold,2020/04/21,1688.2,-0.51％
Gold,2020/04/20,1696.9,0.56％
Gold,2020/04/17,1687.5,-1.76％
Gold,2020/04/16,1717.8,0.05％
Gold,2020/04/15,1717,-0.61％
Gold,2020/04/14,1727.6,0.80％
Gold,2020/04/13,1713.9,1.62％
Gold,2020/04/09,1686.6,2.37％
Gold,2020/04/08,1647.5,-0.19％
Silver,2020/05/06,14.91,-0.93%
Silver,2020/05/05,15.05,1.35%
Silver,2020/05/04,14.85,-1.26%
Silver,2020/05/01,15.04,0.07%
Silver,2020/04/30,15.03,-2.21%
Silver,2020/04/29,15.37,0.79%
Silver,2020/04/28,15.25,-0.33%
Silver,2020/04/27,15.3,-0.46%
Silver,2020/04/24,15.37,0.13%
Silver,2020/04/23,15.35,1.19%
Silver,2020/04/22,15.17,1.47%
Silver,2020/04/21,14.95,-2.48%
Silver,2020/04/20,15.33,0.26%
Silver,2020/04/17,15.29,-1.99%
Silver,2020/04/16,15.6,0.39%
Silver,2020/04/15,15.54,-1.65%
Silver,2020/04/14,15.8,2.20%
Silver,2020/04/13,15.46,-0.26%
Silver,2020/04/09,15.5,3.26%
Silver,2020/04/08,15.01,0.00%
Platinum,2020/05/06,757,-1.82%
Platinum,2020/05/05,771,0.00%
Platinum,2020/05/04,771,0.92%
Platinum,2020/05/01,764,-1.16%
Platinum,2020/04/30,773,-1.28%
Platinum,2020/04/29,783,1.03%
Platinum,2020/04/28,775,1.31%
Platinum,2020/04/27,765,-0.78%
Platinum,2020/04/24,771,-0.39%
Platinum,2020/04/23,774,1.04%
Platinum,2020/04/22,766,1.73%
Platinum,2020/04/21,753,-3.34%
Platinum,2020/04/20,779,-0.64%
Platinum,2020/04/17,784,-0.63%
Platinum,2020/04/16,789,1.28%
Platinum,2020/04/15,779,-1.02%
Platinum,2020/04/14,787,4.38%
Platinum,2020/04/13,754,-0.26%
Platinum,2020/04/09,756,2.58%
Platinum,2020/04/08,737,-0.54%
Palladiun,2020/05/06,1862,-0.69%
Palladiun,2020/05/05,1875,-2.65%
Palladiun,2020/05/04,1926,-2.23%
Palladiun,2020/05/01,1970,-3.62%
Palladiun,2020/04/30,2044,1.19%
Palladiun,2020/04/29,2020,1.15%
Palladiun,2020/04/28,1997,-1.38%
Palladiun,2020/04/27,2025,-2.46%
Palladiun,2020/04/24,2076,1.07%
Palladiun,2020/04/23,2054,1.99%
Palladiun,2020/04/22,2014,0.80%
Palladiun,2020/04/21,1998,-10.68%
Palladiun,2020/04/20,2237,0.77%
Palladiun,2020/04/17,2220,-1.11%
Palladiun,2020/04/16,2245,-0.31%
Palladiun,2020/04/15,2252,-2.81%
Palladiun,2020/04/14,2317,2.39%
Palladiun,2020/04/13,2263,2.54%
Palladiun,2020/04/09,2207,-0.63%
Palladiun,2020/04/08,2221,0.05%
Copper,2020/05/06,2.3332,1.16%
Copper,2020/05/05,2.3064,0.30%
Copper,2020/05/04,2.2996,-0.33%
Copper,2020/05/01,2.3072,-1.89%
Copper,2020/04/30,2.3516,-0.65%
Copper,2020/04/29,2.3671,1.06%
Copper,2020/04/28,2.3422,0.71%
Copper,2020/04/27,2.3256,0.43%
Copper,2020/04/24,2.3157,0.21%
Copper,2020/04/23,2.3108,0.56%
Copper,2020/04/22,2.2979,0.75%
Copper,2020/04/21,2.2807,-3.26%
Copper,2020/04/20,2.3576,0.73%
Copper,2020/04/17,2.3405,1.48%
Copper,2020/04/16,2.3064,0.60%
Copper,2020/04/15,2.2926,-0.93%
Copper,2020/04/14,2.3141,2.78%
Copper,2020/04/13,2.2515,-0.69%
Copper,2020/04/09,2.2671,0.00%
Copper,2020/04/08,2.2671,0.39%
Nickel,2020/05/06,5.5382,2.50%
Nickel,2020/05/05,5.4033,0.90%
Nickel,2020/05/04,5.355,-2.21%
Nickel,2020/05/01,5.4761,-0.93%
Nickel,2020/04/30,5.5277,-0.32%
Nickel,2020/04/29,5.5457,-0.25%
Nickel,2020/04/28,5.5595,0.78%
Nickel,2020/04/27,5.5162,0.14%
